Protein,Average RMSD,Domain,Molecular Function,Error
MerMAID1_model_0,1.75,Eukaryota,Anion Channel,N/A
GtACR2_model_0,1.88,Eukaryota,Anion Channel,N/A
ZipACR__model_0,1.9,Eukaryota,Anion Channel,N/A
PsACR_model_0,1.91,Eukaryota,Anion Channel,N/A
ZipACR_model_0,1.91,Eukaryota,Anion Channel,N/A
PsuACR_353_model_0,1.92,Eukaryota,Anion Channel,N/A
6CSM,1.99,Eukaryota,Anion Channel,N/A
VbACR2_model_0,2.55,Eukaryota,Anion Channel,N/A
6CSN,2.02,Synthetic,Anion Channel,N/A
vPyACR_21821_model_0,1.95,Virus,Anion Channel,N/A
VcChR2_model_0,1.87,Eukaryota,Cation Channel,N/A
GtCCR3_model_0,1.89,Eukaryota,Cation Channel,N/A
VcChR1_model_0,1.9,Eukaryota,Cation Channel,N/A
6EID,1.95,Eukaryota,Cation Channel,N/A
CaChR1_model_0,1.96,Eukaryota,Cation Channel,N/A
5ZIH,2.01,Eukaryota,Cation Channel,N/A
PsChR2_model_0,2.05,Eukaryota,Cation Channel,N/A
8GI9,2.09,Eukaryota,Cation Channel,N/A
CrChR1_model_0,2.1,Eukaryota,Cation Channel,N/A
GtCCR5_model_0,2.16,Eukaryota,Cation Channel,N/A
8H86,2.2,Eukaryota,Cation Channel,N/A
8YEJ,2.21,Eukaryota,Cation Channel,N/A
8JXO,2.22,Eukaryota,Cation Channel,N/A
WiChR_model_0,2.22,Eukaryota,Cation Channel,N/A
GtCCR1_model_0,2.28,Eukaryota,Cation Channel,N/A
7W9W,2.38,Eukaryota,Cation Channel,N/A
8YEL,2.42,Eukaryota,Cation Channel,N/A
8H87,2.44,Eukaryota,Cation Channel,N/A
HulaCCR1_model_0,2.93,Eukaryota,Cation Channel,N/A
3UG9,2.08,Synthetic,Cation Channel,N/A
V2HeR3_model_0,2.18,Virus,Cation Channel,N/A
7AKY,3.26,Virus,Cation Channel,N/A
HsHR_model_0,1.88,Archaea,Chloride Pump,N/A
HmHR_model_0,2.02,Archaea,Chloride Pump,N/A
3A7K,2.11,Archaea,Chloride Pump,N/A
Jaws_model_0,2.11,Archaea,Chloride Pump,N/A
